n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,15,1600.0,28,315.0
 2 ,68,1060.0,135,2100.0
 3 ,78,274.0,151,1320.0
 4 ,411,59100.0,810,795.0
 5 ,609,71.9,1194,80.5
 6 ,675,355.0,1327,100.0
 7 ,910,72.1,1787,51.9
 8 ,968,31.4,1901,40.0
 9 ,1087,68.6,2132,25.1
10 ,1238,21.1,2426,33.8
11 ,1368,38.1,2682,21.0
12 ,1461,467.0,2865,29.8
13 ,1766,55.7,3458,8.06
