n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,39,3330.0,89,7070.0
 2 ,58,171000.0,131,26300.0
 3 ,116,681.0,256,1310.0
 4 ,609,61.3,1300,134.0
 5 ,826,245.0,1763,181.0
 6 ,846,330.0,1807,228.0
 7 ,1173,592.0,2506,274.0
 8 ,1332,7180.0,2851,220.0
 9 ,1368,444.0,2921,129.0
10 ,1460,152.0,3117,20.0
11 ,1642,241.0,3504,30.1
12 ,1810,48.8,3862,17.5
