n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,72,709.0,164,4840.0
 2 ,74,1420.0,164,5020.0
 3 ,84,938.0,191,5800.0
 4 ,87,398.0,191,6830.0
 5 ,103,1130.0,222,7940.0
 6 ,238,1310.0,512,4650.0
 7 ,295,571.0,634,2880.0
 8 ,320,86000.0,688,3390.0
 9 ,338,405.0,727,1700.0
10 ,351,1110.0,753,1160.0
11 ,463,166.0,993,1300.0
12 ,510,1420.0,1095,1180.0
13 ,554,80.1,1184,611.0
14 ,583,867.0,1248,819.0
15 ,609,1360.0,1305,828.0
16 ,727,259.0,1554,662.0
17 ,768,138.0,1639,473.0
18 ,776,74.8,1659,382.0
19 ,795,134.0,1702,490.0
20 ,860,93.8,1836,461.0
21 ,911,703.0,1945,520.0
22 ,933,89.6,1994,428.0
23 ,964,156.0,2068,391.0
24 ,968,433.0,2068,343.0
25 ,1120,419.0,2390,465.0
26 ,1238,152.0,2641,409.0
27 ,1368,4460.0,2920,226.0
28 ,1377,102.0,2938,155.0
29 ,1408,37.9,3003,128.0
30 ,1460,4430.0,3120,192.0
31 ,1587,55.1,3396,92.6
32 ,1592,55.3,3396,110.0
33 ,1731,262.0,3694,81.4
34 ,1764,416.0,3764,96.0
