n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,239,936.0,488,4240.0
 2 ,295,339.0,601,2100.0
 3 ,320,13600.0,657,2920.0
 4 ,338,159.0,692,2140.0
 5 ,352,684.0,722,2290.0
 6 ,463,64.9,946,524.0
 7 ,510,777.0,1049,1130.0
 8 ,583,656.0,1198,732.0
 9 ,609,944.0,1254,720.0
10 ,726,191.0,1494,548.0
11 ,794,74.9,1633,405.0
12 ,860,174.0,1773,470.0
13 ,910,584.0,1873,355.0
14 ,964,129.0,1991,243.0
15 ,968,338.0,1991,374.0
16 ,1119,249.0,2301,267.0
17 ,1237,168.0,2547,316.0
18 ,1368,97.7,2817,172.0
19 ,1377,70.6,2833,114.0
20 ,1460,3780.0,3007,182.0
21 ,1588,50.2,3264,82.0
22 ,1621,44.8,3335,53.6
23 ,1631,52.9,3354,51.0
24 ,1662,27.0,3416,37.4
25 ,1730,93.2,3559,53.7
26 ,1765,361.0,3633,63.2
27 ,1849,42.0,3802,46.1
