n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,15,1150.0,24,586.0
 2 ,140,444000.0,277,19500.0
 3 ,280,297.0,547,245.0
 4 ,352,37.6,686,71.5
 5 ,609,40.4,1192,44.6
 6 ,1462,201.0,2857,6.23
