n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,16,6870.0,28,518.0
 2 ,92,397.0,182,3830.0
 3 ,102,235.0,199,3510.0
 4 ,295,151.0,577,2620.0
 5 ,320,39500.0,633,2850.0
 6 ,338,77.6,662,713.0
 7 ,352,333.0,690,1120.0
 8 ,510,1520.0,1006,1050.0
 9 ,554,100.0,1088,465.0
10 ,582,241.0,1147,638.0
11 ,609,435.0,1197,648.0
12 ,776,97.1,1524,302.0
13 ,910,258.0,1787,297.0
14 ,968,128.0,1900,306.0
15 ,1000,65.2,1961,299.0
16 ,1120,205.0,2200,361.0
17 ,1369,3400.0,2686,226.0
18 ,1461,2260.0,2868,163.0
19 ,1767,222.0,3459,82.8
20 ,1850,57.1,3623,57.3
