n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,39,719.0,87,1230.0
 2 ,72,377.0,164,2980.0
 3 ,74,841.0,164,3020.0
 4 ,84,408.0,185,5090.0
 5 ,238,419.0,514,3860.0
 6 ,295,265.0,635,3540.0
 7 ,320,500.0,686,3700.0
 8 ,352,401.0,756,2800.0
 9 ,511,10900.0,1095,3110.0
10 ,583,332.0,1250,2990.0
11 ,609,373.0,1303,1990.0
12 ,968,126.0,2071,1650.0
13 ,1115,106000.0,2392,370.0
14 ,1120,179.0,2392,141.0
15 ,1377,44.0,2936,44.0
16 ,1460,1470.0,3117,52.3
17 ,1587,18.2,3386,43.8
18 ,1764,118.0,3762,21.0
