n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,58,127000.0,101,14600.0
 2 ,114,310.0,228,696.0
 3 ,511,77.3,1055,392.0
 4 ,725,25.6,1487,97.2
 5 ,821,36.3,1697,215.0
 6 ,825,341.0,1697,353.0
 7 ,846,271.0,1761,688.0
 8 ,1172,560.0,2426,561.0
 9 ,1332,10600.0,2747,320.0
10 ,1368,406.0,2819,100.0
11 ,1390,21.6,2861,56.8
12 ,1549,7.54,3183,7.11
13 ,1642,258.0,3381,17.9
14 ,1686,5.82,3466,6.4
15 ,1811,26.0,3724,22.3
16 ,1976,9.1,4059,4.8
