n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,239,697.0,488,8380.0
 2 ,352,593.0,718,3000.0
 3 ,508,554.0,1052,2090.0
 4 ,511,1950.0,1052,3400.0
 5 ,554,301.0,1135,1670.0
 6 ,564,606.0,1157,1720.0
 7 ,583,522.0,1201,2050.0
 8 ,609,862.0,1251,1340.0
 9 ,726,234.0,1495,1570.0
10 ,910,584.0,1877,1440.0
11 ,968,346.0,1992,1650.0
12 ,1064,623.0,2194,1770.0
13 ,1119,297.0,2301,1420.0
14 ,1368,381.0,2815,1190.0
15 ,1460,3410.0,3006,760.0
16 ,1576,47300.0,3246,401.0
17 ,1588,51.1,3265,70.2
18 ,1730,73.7,3560,59.4
19 ,1765,328.0,3633,52.1
20 ,1849,47.9,3802,44.1
