n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,92,378000.0,184,53200.0
 2 ,113,505.0,223,10100.0
 3 ,153,553.0,311,14000.0
 4 ,259,1290.0,531,9720.0
 5 ,279,38000.0,574,9520.0
 6 ,361,54500.0,743,8090.0
 7 ,405,572.0,829,3740.0
 8 ,456,2250.0,935,4050.0
 9 ,479,2210.0,987,4110.0
10 ,515,2080.0,1059,3390.0
11 ,545,7410.0,1123,2810.0
12 ,565,6010.0,1161,2200.0
13 ,575,3560.0,1184,2500.0
14 ,609,297.0,1251,1090.0
15 ,620,3900.0,1274,1480.0
16 ,633,24800.0,1305,2170.0
17 ,659,1130.0,1356,1190.0
18 ,693,439.0,1424,671.0
19 ,714,21500.0,1474,1670.0
20 ,724,466.0,1495,1040.0
21 ,819,359.0,1685,654.0
22 ,846,224.0,1739,575.0
23 ,899,184.0,1851,344.0
24 ,984,174.0,2023,316.0
25 ,994,2600.0,2049,372.0
26 ,1054,990.0,2172,138.0
27 ,1078,2940.0,2221,216.0
28 ,1367,343.0,2816,50.0
29 ,1460,351.0,3006,24.0
30 ,1812,26.8,3723,12.8
