n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,67,971.0,127,5210.0
 2 ,239,463.0,481,4330.0
 3 ,295,167.0,601,1780.0
 4 ,352,563.0,718,1590.0
 5 ,412,45200.0,846,1610.0
 6 ,511,431.0,1052,739.0
 7 ,583,347.0,1197,651.0
 8 ,609,571.0,1250,365.0
 9 ,675,276.0,1390,489.0
10 ,859,77.9,1766,174.0
11 ,910,421.0,1873,221.0
12 ,933,47.9,1918,126.0
13 ,964,55.0,1992,145.0
14 ,968,201.0,1992,182.0
15 ,1119,202.0,2304,160.0
16 ,1237,94.2,2548,155.0
17 ,1377,72.7,2831,55.0
18 ,1408,39.4,2897,85.7
19 ,1461,2400.0,3007,103.0
20 ,1471,14.1,3024,25.0
21 ,1510,47.1,3106,32.4
22 ,1730,30.2,3556,14.2
23 ,1766,200.0,3630,26.9
24 ,1850,33.2,3800,18.8
