n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,72,2610.0,161,21000.0
 2 ,74,5770.0,161,21600.0
 3 ,77,1700.0,161,22100.0
 4 ,84,3020.0,184,30500.0
 5 ,87,1820.0,184,27800.0
 6 ,185,855.0,386,22600.0
 7 ,209,824.0,434,20700.0
 8 ,238,6800.0,501,11400.0
 9 ,241,1320.0,501,12300.0
10 ,270,586.0,559,17000.0
11 ,277,352.0,573,11600.0
12 ,295,2930.0,611,14500.0
13 ,300,459.0,621,10100.0
14 ,328,373.0,678,11400.0
15 ,338,1990.0,699,8960.0
16 ,351,5640.0,726,10600.0
17 ,463,613.0,952,7970.0
18 ,510,3570.0,1053,7310.0
19 ,569,265.0,1170,3380.0
20 ,583,4310.0,1197,3170.0
21 ,604,2130.0,1255,2640.0
22 ,609,6190.0,1255,2590.0
23 ,661,62400.0,1370,2400.0
24 ,665,228.0,1370,2000.0
25 ,727,1040.0,1494,2520.0
26 ,768,730.0,1585,1660.0
27 ,772,232.0,1585,1610.0
28 ,785,304.0,1614,1780.0
29 ,795,2130.0,1635,2590.0
30 ,806,170.0,1658,1960.0
31 ,835,185.0,1714,1310.0
32 ,860,575.0,1767,1800.0
33 ,911,3680.0,1870,1470.0
34 ,934,385.0,1917,1630.0
35 ,964,810.0,1992,1410.0
36 ,968,2330.0,1992,1280.0
37 ,1000,86.9,2052,1100.0
38 ,1115,575.0,2302,1290.0
39 ,1120,2000.0,2302,1230.0
40 ,1155,229.0,2370,1990.0
41 ,1173,1300.0,2410,2220.0
42 ,1238,790.0,2541,1850.0
43 ,1280,163.0,2627,835.0
44 ,1332,1110.0,2737,1420.0
45 ,1377,517.0,2826,827.0
46 ,1401,231.0,2890,630.0
47 ,1407,395.0,2890,624.0
48 ,1460,22200.0,2999,855.0
49 ,1495,114.0,3067,417.0
50 ,1509,261.0,3098,497.0
51 ,1538,33.1,3152,150.0
52 ,1588,396.0,3267,352.0
53 ,1592,376.0,3267,293.0
54 ,1620,160.0,3322,277.0
55 ,1630,192.0,3343,327.0
56 ,1661,135.0,3404,201.0
57 ,1729,342.0,3549,312.0
58 ,1764,2040.0,3619,267.0
59 ,1847,270.0,3787,189.0
