n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,53,57700.0,122,23900.0
 2 ,55,17500.0,122,19900.0
 3 ,72,3500.0,164,27500.0
 4 ,74,4940.0,164,27000.0
 5 ,84,492.0,190,19800.0
 6 ,87,385.0,190,20800.0
 7 ,94,341000.0,206,36100.0
 8 ,115,702.0,250,12800.0
 9 ,119,529.0,259,8850.0
10 ,153,395.0,333,7420.0
11 ,259,782.0,558,3570.0
12 ,279,27400.0,602,5720.0
13 ,326,198.0,701,2640.0
14 ,361,36500.0,777,4790.0
15 ,405,293.0,866,2120.0
16 ,456,1480.0,978,2340.0
17 ,479,1390.0,1028,1730.0
18 ,515,1130.0,1105,1800.0
19 ,540,117.0,1155,1010.0
20 ,545,4770.0,1170,1440.0
21 ,565,3760.0,1212,1390.0
22 ,575,2120.0,1231,1230.0
23 ,620,2460.0,1329,1000.0
24 ,633,15800.0,1357,1710.0
25 ,660,681.0,1412,864.0
26 ,694,226.0,1484,581.0
27 ,715,13500.0,1531,1130.0
28 ,725,360.0,1553,791.0
29 ,820,184.0,1754,422.0
30 ,900,197.0,1926,320.0
31 ,911,54.3,1949,210.0
32 ,984,137.0,2102,155.0
33 ,994,1760.0,2127,223.0
34 ,1055,649.0,2253,117.0
35 ,1079,1720.0,2307,199.0
36 ,1368,189.0,2920,28.1
37 ,1460,322.0,3118,29.8
