n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,140,54900.0,282,2040.0
 2 ,155,35.8,309,129.0
 3 ,582,9.29,1194,9.3
 4 ,609,33.8,1250,6.5
 5 ,771,6.31,1583,5.2
 6 ,785,5.53,1612,2.86
 7 ,898,6.0,1844,2.86
 8 ,1185,4.61,2437,1.2
 9 ,1460,67.3,3005,1.61
