n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,72,5580.0,161,42500.0
 2 ,74,11800.0,161,43900.0
 3 ,77,3100.0,161,45100.0
 4 ,84,5220.0,182,49500.0
 5 ,87,2530.0,182,50900.0
 6 ,185,2110.0,386,47900.0
 7 ,209,1410.0,434,40900.0
 8 ,238,14400.0,501,20800.0
 9 ,241,2960.0,501,22500.0
10 ,270,1670.0,559,22400.0
11 ,277,617.0,573,19800.0
12 ,295,6080.0,609,17000.0
13 ,300,1270.0,621,21800.0
14 ,327,1090.0,678,20500.0
15 ,338,3600.0,699,18300.0
16 ,351,11100.0,726,16900.0
17 ,409,516.0,845,11000.0
18 ,462,1450.0,954,9680.0
19 ,510,7100.0,1053,13100.0
20 ,583,8700.0,1200,10800.0
21 ,604,357.0,1255,4540.0
22 ,609,12700.0,1255,5480.0
23 ,665,367.0,1367,5690.0
24 ,727,2160.0,1493,5200.0
25 ,755,300.0,1550,4760.0
26 ,768,1190.0,1586,4760.0
27 ,772,362.0,1586,4660.0
28 ,785,416.0,1616,6840.0
29 ,795,1460.0,1633,8150.0
30 ,806,415.0,1659,7680.0
31 ,860,1390.0,1770,8660.0
32 ,911,7550.0,1871,5750.0
33 ,934,710.0,1917,4500.0
34 ,964,1550.0,1991,3110.0
35 ,968,4700.0,1991,3020.0
36 ,1000,485.0,2057,4200.0
37 ,1076,75700.0,2212,4910.0
38 ,1120,4110.0,2302,3800.0
39 ,1154,575.0,2369,3850.0
40 ,1238,1620.0,2543,3420.0
41 ,1280,421.0,2631,3220.0
42 ,1377,1080.0,2828,1650.0
43 ,1385,230.0,2841,1160.0
44 ,1401,386.0,2887,1130.0
45 ,1407,690.0,2887,1100.0
46 ,1460,44200.0,3000,1640.0
47 ,1495,249.0,3078,642.0
48 ,1501,115.0,3078,605.0
49 ,1509,425.0,3093,974.0
50 ,1538,107.0,3162,435.0
51 ,1543,67.6,3162,442.0
52 ,1582,214.0,3278,543.0
53 ,1588,921.0,3278,588.0
54 ,1592,771.0,3278,556.0
55 ,1599,80.7,3278,562.0
56 ,1620,371.0,3323,591.0
57 ,1630,456.0,3343,570.0
58 ,1638,115.0,3358,401.0
59 ,1661,257.0,3405,585.0
60 ,1729,730.0,3545,505.0
61 ,1764,4080.0,3621,668.0
62 ,1838,86.2,3767,487.0
63 ,1847,524.0,3792,754.0
