n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,59,108000.0,136,18700.0
 2 ,99,74.7,214,351.0
 3 ,103,81.0,223,468.0
 4 ,238,61.1,511,103.0
 5 ,583,60.2,1250,39.0
 6 ,609,61.5,1302,29.3
 7 ,911,38.5,1947,16.7
 8 ,1120,22.3,2391,13.2
 9 ,1460,235.0,3118,11.3
