n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,70,743.0,164,6540.0
 2 ,72,811.0,164,5940.0
 3 ,75,1610.0,164,7370.0
 4 ,84,1050.0,191,8910.0
 5 ,87,366.0,191,10400.0
 6 ,185,441.0,401,8170.0
 7 ,209,269.0,448,5030.0
 8 ,238,2380.0,518,4310.0
 9 ,241,480.0,518,4160.0
10 ,270,259.0,579,4370.0
11 ,295,936.0,634,3250.0
12 ,338,669.0,727,2890.0
13 ,351,1860.0,756,3090.0
14 ,411,26400.0,882,2410.0
15 ,463,307.0,989,1640.0
16 ,510,1200.0,1095,1840.0
17 ,583,1480.0,1249,1040.0
18 ,609,2000.0,1302,934.0
19 ,676,135.0,1446,1080.0
20 ,727,354.0,1552,622.0
21 ,768,201.0,1640,629.0
22 ,795,247.0,1698,725.0
23 ,860,247.0,1836,441.0
24 ,911,1290.0,1947,515.0
25 ,934,188.0,1994,640.0
26 ,964,227.0,2068,458.0
27 ,968,739.0,2068,441.0
28 ,1120,682.0,2394,618.0
29 ,1155,56.1,2463,413.0
30 ,1238,237.0,2640,463.0
31 ,1377,195.0,2940,205.0
32 ,1408,106.0,3002,152.0
33 ,1460,7460.0,3120,267.0
34 ,1496,40.2,3190,118.0
35 ,1509,65.2,3217,154.0
36 ,1588,133.0,3400,101.0
37 ,1592,116.0,3400,103.0
38 ,1610,19.5,3431,38.3
39 ,1620,49.0,3456,101.0
40 ,1630,74.7,3479,93.8
41 ,1661,34.5,3543,117.0
42 ,1729,116.0,3687,72.1
43 ,1764,674.0,3765,95.4
44 ,1847,100.0,3942,84.7
