n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,320,376.0,651,5450.0
 2 ,352,173.0,716,2560.0
 3 ,511,17800.0,1052,6430.0
 4 ,609,388.0,1251,3850.0
 5 ,1114,185000.0,2300,1330.0
 6 ,1291,29.9,2656,106.0
 7 ,1460,1510.0,3007,70.8
 8 ,1620,22.7,3332,26.5
 9 ,1765,134.0,3632,32.0
