n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,16,10100.0,37,10200.0
 2 ,508,2870.0,1010,3250.0
 3 ,510,2500.0,1010,5840.0
 4 ,553,755.0,1087,3890.0
 5 ,563,1780.0,1110,4020.0
 6 ,640,269.0,1259,2660.0
 7 ,1064,3010.0,2096,6250.0
 8 ,1368,2710.0,2690,8300.0
 9 ,1577,258000.0,3099,2690.0
10 ,2088,67.3,4086,85.4
