n_peak,Energy (Kev),Peak Net Area,End_Roi,continum_count
 1 ,15,7200.0,24,2710.0
 2 ,43,61500.0,84,34900.0
 3 ,51,32900.0,101,35000.0
 4 ,93,297000.0,186,62600.0
 5 ,114,563.0,233,7700.0
 6 ,119,525.0,233,7580.0
 7 ,153,409.0,303,12300.0
 8 ,259,1540.0,510,8490.0
 9 ,279,44500.0,554,11700.0
10 ,361,69100.0,715,6670.0
11 ,405,746.0,793,3090.0
12 ,455,3070.0,896,3610.0
13 ,479,3050.0,943,3730.0
14 ,489,290.0,961,2290.0
15 ,515,2620.0,1014,4250.0
16 ,540,422.0,1078,1210.0
17 ,545,10900.0,1078,1590.0
18 ,565,8640.0,1112,2480.0
19 ,575,4950.0,1132,1660.0
20 ,588,177.0,1158,1510.0
21 ,609,386.0,1199,1200.0
22 ,620,6090.0,1219,1680.0
23 ,633,36100.0,1250,1850.0
24 ,659,1700.0,1298,1090.0
25 ,693,759.0,1368,833.0
26 ,714,31900.0,1410,1330.0
27 ,725,848.0,1426,671.0
28 ,819,506.0,1611,402.0
29 ,899,185.0,1767,171.0
30 ,984,298.0,1931,125.0
31 ,994,3010.0,1953,175.0
32 ,1055,1590.0,2076,121.0
33 ,1079,4590.0,2122,158.0
34 ,1091,35.0,2143,74.8
35 ,1369,229.0,2687,39.9
36 ,1461,220.0,2866,18.1
37 ,1644,103.0,3221,17.5
